n_features,features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std
5,"max_temp_f, min_temp_f, precip_in, wind_3day_avg_mph, previous_irrigation_amount",0.845775495263451,0.0125939233004109,0.03371613708964174,0.001105038647801983
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_3day_sum_in, month",0.845742613114725,0.01723416195585718,0.033685454338576726,0.0016725172183940584
5,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph, day_of_year",0.8457087307885074,0.01806743668964648,0.03368276471784716,0.001800854958080433
5,"max_temp_f, mean_temp_f, mean_humidity_pct, precip_in, previous_irrigation_amount",0.845688651649772,0.014953812359091559,0.03371120038262469,0.0014150570619217108
5,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph, month",0.8456371466767962,0.01777278383166893,0.0336930991601006,0.0017635685076297421
5,"max_temp_f, min_temp_f, mean_humidity_pct, days_since_rain, previous_irrigation_amount",0.8455117124741097,0.015541271324590029,0.033725592845179966,0.0014748017573074285
5,"min_temp_f, mean_temp_f, mean_humidity_pct, days_since_irrigation, day_of_year",0.8454645716996634,0.01634812719134486,0.033723017630137214,0.0015779564054228478
5,"min_temp_f, mean_temp_f, mean_humidity_pct, days_since_irrigation, month",0.8453929254059573,0.016079115138770805,0.03373291178685028,0.0015443014533465527
5,"max_temp_f, min_temp_f, mean_humidity_pct, precip_5day_sum_in, previous_irrigation_amount",0.84521268342504,0.016453733254031103,0.03375168046753056,0.0015777600601871579
4,"max_temp_f, min_temp_f, mean_humidity_pct, previous_irrigation_amount",0.8450451169851974,0.016226272859029875,0.033771830614782804,0.0015506938671934049
5,"max_temp_f, min_temp_f, mean_humidity_pct, precip_3day_sum_in, previous_irrigation_amount",0.8450439657524186,0.016201840598460988,0.033772140376079014,0.0015479625808990836
5,"max_temp_f, min_temp_f, mean_humidity_pct, temp_3day_avg_f, previous_irrigation_amount",0.8449475268881905,0.016306443278010927,0.033781926710408874,0.0015648061780426862
5,"max_temp_f, min_temp_f, mean_humidity_pct, avg_wind_mph, previous_irrigation_amount",0.844940112639175,0.016242858904878633,0.03378320914244841,0.0015547913184055383
5,"max_temp_f, min_temp_f, mean_humidity_pct, wind_3day_avg_mph, previous_irrigation_amount",0.844933977807236,0.016255390907613264,0.03378377577512456,0.0015546352993918017
5,"max_temp_f, min_temp_f, mean_humidity_pct, temp_5day_avg_f, previous_irrigation_amount",0.8448519064874279,0.01629493136868956,0.03379251506246224,0.0015651472936008416
4,"max_temp_f, min_temp_f, precip_in, previous_irrigation_amount",0.8447237724016269,0.012297069266235333,0.03383320608404666,0.0010799912418505589
5,"min_temp_f, mean_temp_f, mean_humidity_pct, days_since_rain, day_of_year",0.8446927787087464,0.016979974198462654,0.03380282872392252,0.0016423877216091938
5,"max_temp_f, min_temp_f, precip_in, temp_5day_avg_f, previous_irrigation_amount",0.8446914756258499,0.012364107479681684,0.0338363509827674,0.0010959040329575663
5,"max_temp_f, min_temp_f, precip_in, temp_3day_avg_f, previous_irrigation_amount",0.8446188359579241,0.012299298611164806,0.03384466239826502,0.0010837858559007243
5,"min_temp_f, mean_temp_f, mean_humidity_pct, days_since_rain, month",0.8445943802575027,0.016685799555149542,0.033815891337876956,0.0016050340893428157
5,"max_temp_f, min_temp_f, precip_in, max_wind_mph, previous_irrigation_amount",0.8445562533979661,0.01250567618311449,0.03385044458448043,0.0011021416544953172
5,"max_temp_f, min_temp_f, precip_in, previous_irrigation_amount, days_since_irrigation",0.8444668609457929,0.01242967307033153,0.03386067082554114,0.0010935087238660868
5,"max_temp_f, mean_humidity_pct, precip_in, temp_5day_avg_f, previous_irrigation_amount",0.8441856596100656,0.0158245457482571,0.03387018119412387,0.0014878616233923788
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_5day_sum_in, day_of_year",0.8435039137024282,0.017089623545498943,0.03393210352278831,0.0016433973980499211
5,"min_temp_f, mean_temp_f, mean_humidity_pct, wind_3day_avg_mph, day_of_year",0.8434830822660165,0.017778571815211478,0.033929007944868174,0.0017392723075380838
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_5day_sum_in, month",0.8434153890709414,0.016810483369925813,0.03394392293187789,0.0016081716690022375
5,"min_temp_f, mean_temp_f, mean_humidity_pct, wind_3day_avg_mph, month",0.8434046007281217,0.017480756730125262,0.03393997182589704,0.0017017754884754398
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, day_of_year",0.8433991965622102,0.017976808129395724,0.03393653831045275,0.0017588207984464389
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, month",0.8433194748100881,0.017678191268659015,0.03394766836965978,0.0017212615906459713
5,"max_temp_f, mean_humidity_pct, precip_in, max_wind_mph, previous_irrigation_amount",0.843284732083864,0.01671103597830223,0.03396175068747444,0.001630775519670809
5,"max_temp_f, mean_humidity_pct, precip_in, days_since_rain, previous_irrigation_amount",0.8432299442668792,0.016069476920358226,0.033972760280053534,0.0015403670516961124
5,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph, days_since_irrigation",0.8431764670673803,0.017624040304548224,0.03396458819009429,0.001749661159599069
5,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph, precip_3day_sum_in",0.8430620943763147,0.018450494570435017,0.03396985363333116,0.0018356790297935958
